Kod;Klaster (Hardware);Funkcja (Co to robi?);LVL (Sprawność);Archetyp (Gen Z);"Objaw (""Bug"" Systemu)";Patch (Jak to naprawić?)
EF1;AKTYWACJA (Activation);Rozrusznik. Zdolność do ruszenia z miejsca, organizowania zadań i priorytetyzacji.;HIGH;Inicjator;"Siadasz i robisz. Nie potrzebujesz ""weny"". Twój kalendarz jest uporządkowany, a biurko czyste. Startujesz projekty z wyprzedzeniem.";Uważaj, żeby nie planować zbyt wiele. To, że łatwo zaczynasz, nie znaczy, że wszystko skończysz.
EF1;AKTYWACJA (Activation);Zimny Start. Problem z ruszeniem, póki nie ma paniki (deadline). Prokrastynacja to Twój domyślny tryb.;LOW;Prokrastynator;"""Zrobię to później"". Czekasz na adrenalinę. Masz problem z oceną, ile czasu zajmie zadanie (""A, to zajmie 5 minut"" -> zajmuje 3 godziny).";"Metoda ""Salami"": Pokrój zadanie na plasterki tak cienkie, że aż śmieszne (np. ""Otwórz zeszyt""). Nie myśl o całości, myśl o plasterku."
EF2;OGNISKOWANIE (Focus);Soczewka. Zdolność do utrzymania uwagi na nudnym zadaniu i ignorowania rozpraszaczy.;HIGH;Snajper;"Potrafisz czytać książkę w hałasie. Kiedy się skupisz, świat znika (""Deep Work""). Nie skaczesz po kartach w przeglądarce.";"Pamiętaj o przerwach. Twój ""tunelowy wzrok"" może sprawić, że przegapisz inne ważne rzeczy (np. głód, telefon od mamy)."
EF2;OGNISKOWANIE (Focus);Rozproszony. Uwaga skacze jak piłeczka pingpongowa. Każdy powiadomienie wyrywa Cię z rytmu.;LOW;Skoczek;Zaczynasz sprzątać pokój, znajdujesz stary bilet, czytasz o koncercie, po godzinie pokój dalej brudny, a Ty oglądasz koty na YT.;"Usuń rozpraszacze FIZYCZNIE. Telefon do innego pokoju. Blokada na social media. Twój mózg nie ma hamulca na ""ciekawostki"", musisz mu go zbudować."
EF3;WYSIŁEK (Effort);Bateria. Utrzymanie energii i czujności. Zdolność do pracy, gdy zadanie jest nudne lub trudne.;HIGH;Maratończyk;Masz stabilne zasilanie. Nie zasypiasz na lekcjach. Potrafisz dokończyć projekt, nawet jak entuzjazm opadł tydzień temu.;Monitoruj zmęczenie. Możesz pracować tak długo, że wypalisz styki. Odpoczynek to też zadanie.
EF3;WYSIŁEK (Effort);Skoki Napięcia. Masz energię tylko do tego, co Cię jara. Nuda fizycznie Cię boli i usypia.;LOW;Sprinter;"Potrafisz grać w grę 12h (Hyperfocus), ale nad książką zasypiasz w 10 minut. Twoja bateria działa tylko na ""paliwie rakietowym"" (pasja/stres).";Gamifikacja. Musisz zamienić nudne zadanie w grę. Ustaw stoper, rywalizuj z kolegą, daj sobie nagrodę za każdy etap. Nuda Cię zabije, zabawa Cię uratuje.
EF4;EMOCJE (Emotion);Firewall. Zarządzanie frustracją. Czy mała porażka wysadza cały system?;HIGH;Stoik;"Oddzielasz emocje od faktów. Jak coś nie wyjdzie, mówisz ""trudno"" i robisz dalej. Nie rzucasz padem, jak przegrasz mecz.";Czasem pozwól sobie coś poczuć. Nie bądź robotem. Tłumienie emocji kosztuje energię procesora.
EF4;EMOCJE (Emotion);Przegrzanie. Niska tolerancja na frustrację. Emocje zalewają korę mózgową i wyłączają myślenie.;LOW;Wulkan;"Jedna uwaga nauczyciela i ""cały dzień zepsuty"". Reagujesz nieproporcjonalnie do sytuacji. Szybko się zniechęcasz, gdy coś nie wychodzi.";"Przycisk ""Pauza"". Jak czujesz, że ciśnienie rośnie – wyjdź z pokoju. Fizycznie zmień miejsce. Nie dyskutuj, póki system się nie schłodzi."
EF5;PAMIĘĆ (Memory);RAM. Pamięć operacyjna. Czy pamiętasz, po co poszedłeś do kuchni?;HIGH;Archiwista;"Pamiętasz polecenia nauczyciela bez zapisywania. Wiesz, gdzie położyłeś klucze. Masz duży ""bufor"" na dane w głowie.";Nie ufaj pamięci bezgranicznie. Przy dużym stresie nawet najlepszy RAM się resetuje. Zapisuj najważniejsze rzeczy.
EF5;PAMIĘĆ (Memory);Złota Rybka. Dane wpadają i wypadają. Zapominasz o zadaniu w trakcie jego wykonywania.;LOW;Roztargniony;"Wchodzisz do pokoju i nie wiesz po co. Gutsz wątek w połowie zdania. Uczysz się, a rano masz pustkę w głowie (""Reset"").";Zewnętrzny Dysk Twardy. Wszystko musi być zapisane. Notatki w telefonie, alarmy, żółte karteczki. Nie trzymaj nic w głowie, bo zgubisz.
EF6;DZIAŁANIE (Action);Hamulec. Monitorowanie zachowania. Czy umiesz się powstrzymać przed palnięciem głupstwa?;HIGH;Dyplomata;Masz kontrolę nad impulsem. Zanim coś powiesz, Twój mózg robi symulację skutków. Umiesz dostosować zachowanie do sytuacji.;Uważaj na nadmierną kontrolę. Czasem brak spontaniczności sprawia, że jesteś sztywny.
EF6;DZIAŁANIE (Action);Bez Filtra. Działasz szybciej niż myślisz. Często przerywasz innym.;LOW;Rewolwerowiec;"Najpierw robisz/mówisz, potem myślisz ""O kurde"". Często przerywasz innym w połowie zdania, bo ""masz myśl"". Impulsywność ruchowa (wiercenie się).";"Fidget Toys. Daj rękom zajęcie (gniotek, spinacz), żeby mózg mógł słuchać. Ćwicz zasadę ""3 sekund"" przed odpowiedzią."
